scenario_id,train_type,delay,track,priority
1,Military Train-H,111,UP,1
1,Military Train-L,4,UP,2
1,Special VIP / VVIP Train-H,33,UP,3
1,Special VIP / VVIP Train-L,24,UP,4
1,Special Tourist / Protocol Train-H,65,UP,5
1,Special Tourist / Protocol Train-L,8,UP,6
1,Vande Bharat Express-H,58,UP,7
1,Vande Bharat Express-L,5,UP,8
1,Rajdhani Express-H,43,UP,9
1,Rajdhani Express-L,22,UP,10
1,Duronto Express-H,99,UP,11
1,Duronto Express-L,3,UP,12
1,Shatabdi Express-H,105,UP,13
1,Shatabdi Express-L,14,UP,14
1,Tejas Express-H,34,UP,15
1,Tejas Express-L,1,UP,16
1,Gatimaan Express-H,41,UP,17
1,Gatimaan Express-L,7,UP,18
1,Humsafar Express-H,59,UP,19
1,Humsafar Express-L,17,UP,20
1,Double Decker Express-H,107,UP,21
1,Double Decker Express-L,1,UP,22
1,Uday Express-H,101,UP,23
1,Uday Express-L,7,UP,24
1,Superfast Express-H,113,UP,25
1,Superfast Express-L,23,UP,26
1,Mail Train-H,99,UP,27
1,Mail Train-L,14,UP,28
1,Express Train-H,58,UP,29
1,Express Train-L,15,UP,30
1,Jan Shatabdi Express-H,105,UP,31
1,Jan Shatabdi Express-L,9,UP,32
1,Antyodaya Express-H,30,UP,33
1,Antyodaya Express-L,25,UP,34
1,Deen Dayalu Express-H,50,UP,35
1,Deen Dayalu Express-L,23,UP,36
1,Passenger Train-H,84,UP,37
1,Passenger Train-L,11,UP,38
1,MEMU Train-H,65,UP,39
1,MEMU Train-L,5,UP,40
1,DMU Train-H,57,UP,41
1,DMU Train-L,25,UP,42
1,EMU Train-H,73,UP,43
1,EMU Train-L,4,UP,44
1,Metro Train-H,41,UP,45
1,Metro Train-L,13,UP,46
1,Palace on Wheels-H,42,UP,47
1,Palace on Wheels-L,12,UP,48
1,Maharajas’ Express-H,74,UP,49
1,Maharajas’ Express-L,20,UP,50
1,Deccan Odyssey-H,63,UP,51
1,Deccan Odyssey-L,26,UP,52
1,Golden Chariot-H,35,UP,53
1,Golden Chariot-L,24,UP,54
1,Mountain / Heritage Trains-H,88,UP,55
1,Mountain / Heritage Trains-L,18,UP,56
1,Goods / Freight Train-H,45,UP,57
1,Goods / Freight Train-L,13,UP,58
2,Military Train-H,40,UP,1
2,Military Train-L,18,UP,2
2,Special VIP / VVIP Train-H,67,UP,3
2,Special VIP / VVIP Train-L,27,UP,4
2,Special Tourist / Protocol Train-H,110,UP,5
2,Special Tourist / Protocol Train-L,20,UP,6
