train_no	train_name	train_type	schedule_ar	schedule_dep	actual_ar	actual_dep	delay	track	directions
69019	Rajnandgaon-Raigarh Vande Bharat	Vande Bharat	03:24	16:45	04:43	17:19	79	3	up
33606	Bilaspur-Dongargarh Vande Bharat	Vande Bharat	13:42	11:15	13:57	11:20	15	1	down
35294	Balod-Dongargarh Rajdhani	Rajdhani	19:11	14:45	21:00	15:20	109	3	up
17546	Korba-Ambikapur Rajdhani	Rajdhani	17:09	09:30	18:49	09:39	100	1	down
53419	Balod-Raipur Shatabdi	Shatabdi	07:14	00:30	08:16	00:49	62	2	down
25339	Korba-Raipur Shatabdi	Shatabdi	07:35	22:00	08:34	22:19	59	1	down
40192	Ambikapur-Raipur Shatabdi	Shatabdi	07:44	04:15	08:37	04:16	53	3	down
11815	Korba-Rajnandgaon Shatabdi	Shatabdi	22:10	16:45	22:38	16:50	28	2	down
24414	Korba-Bilaspur Jan Shatabdi	Jan Shatabdi	19:39	12:30	20:14	12:35	35	1	down
24198	Durg-Dongargarh Jan Shatabdi	Jan Shatabdi	07:16	03:15	07:35	03:15	19	3	up
48905	Rajnandgaon-Bilaspur Jan Shatabdi	Jan Shatabdi	15:23	13:15	15:35	13:20	12	1	up
82126	Raipur-Korba Jan Shatabdi	Jan Shatabdi	00:48	16:00	01:01	16:01	13	2	up
87732	Raigarh-Pendra Road Garib Rath	Garib Rath	09:46	07:00	11:24	07:21	98	2	up
99714	Jangir Champa-Pendra Road Garib Rath	Garib Rath	04:12	00:30	04:46	00:44	34	1	up
55433	Jangir Champa-Pendra Road Mail	Mail	11:32	06:00	11:56	06:09	24	1	up
68467	Ambikapur-Raipur Mail	Mail	04:25	00:45	05:13	00:57	48	3	up
73859	Jangir Champa-Pendra Road Mail	Mail	02:11	17:00	02:59	17:02	48	3	up
88301	Raigarh-Balod Mail	Mail	02:29	00:00	03:58	00:09	89	2	down
28207	Durg-Pendra Road Mail	Mail	16:29	09:45	17:50	09:47	81	3	up
91211	Bilaspur-Durg Mail	Mail	09:29	00:00	10:31	00:23	62	1	up
77838	Dongargarh-Dalli Rajhara Mail	Mail	13:00	07:00	14:47	07:38	107	2	down
86703	Korba-Raigarh Mail	Mail	08:42	23:45	09:09	23:50	27	1	down
42214	Dalli Rajhara-Ambikapur Mail	Mail	15:40	12:30	17:23	12:52	103	1	down
90211	Balod-Pendra Road Mail	Mail	18:11	10:45	18:51	10:46	40	2	down
18739	Raipur-Bilaspur Express	Express	06:08	03:00	06:38	03:07	30	3	up
33957	Ambikapur-Balod Express	Express	02:08	23:15	03:44	23:24	96	2	down
74888	Rajnandgaon-Raigarh Express	Express	01:26	21:45	01:36	21:48	10	2	up
28936	Durg-Dalli Rajhara Express	Express	01:18	20:30	02:21	20:41	63	3	down
43882	Dongargarh-Jangir Champa Express	Express	21:45	18:30	23:28	19:20	103	1	down
73955	Raigarh-Bilaspur Express	Express	16:54	07:45	18:21	07:47	87	2	up
51615	Korba-Raipur Express	Express	13:59	04:30	14:30	04:43	31	2	down
11626	Ambikapur-Bilaspur Express	Express	09:57	03:45	11:02	04:00	65	3	up
62873	Bilaspur-Pendra Road Express	Express	04:13	23:45	05:52	00:24	99	3	up
85238	Ambikapur-Pendra Road Express	Express	09:34	03:30	10:40	04:02	66	2	up
85592	Bilaspur-Ambikapur Express	Express	12:46	05:45	13:02	05:46	16	1	up
88939	Dalli Rajhara-Dongargarh Express	Express	19:51	14:45	20:40	15:02	49	2	up
47332	Balod-Korba Express	Express	11:47	08:15	12:58	08:42	71	2	up
85016	Dongargarh-Rajnandgaon Express	Express	16:03	06:15	17:07	06:26	64	3	up
17362	Rajnandgaon-Pendra Road Express	Express	17:42	09:15	18:19	09:15	37	3	up
70560	Korba-Jangir Champa Express	Express	17:13	14:45	17:31	14:51	18	3	up
74414	Raipur-Durg Express	Express	14:50	08:15	16:15	08:41	85	1	up
92182	Raipur-Dalli Rajhara Express	Express	08:53	01:30	09:38	01:44	45	3	down
87502	Dalli Rajhara-Jangir Champa Express	Express	17:55	14:00	18:33	14:03	38	3	down
66140	Rajnandgaon-Balod Express	Express	11:53	06:00	13:52	06:53	119	3	down
94557	Balod-Bilaspur Express	Express	03:38	18:00	05:11	18:30	93	3	up
13827	Balod-Bilaspur Express	Express	00:14	18:00	00:29	18:02	15	2	up
