train_id	train_name	train_type	zone	source	destination	distance_km	avg_speed_kmph	scheduled_departure	scheduled_arrival	actual_departure	actual_arrival	delay_minutes	weather_condition	track_number	status
46808	Varanasi-Amritsar Vande Bharat	Vande Bharat	NR	Varanasi	Amritsar	1297	82.9	11:00	02:39	11:07	04:53	134	Clear	3	Delayed
99362	Gaya-Dhanbad Vande Bharat	Vande Bharat	ECR	Gaya	Dhanbad	423	68.6	03:15	09:25	03:26	10:45	80	Fog	3	Delayed
84322	Asansol-Sealdah Vande Bharat	Vande Bharat	ER	Asansol	Sealdah	1887	97.5	13:15	08:36	13:50	10:47	131	Fog	2	Delayed
81316	Vijayawada-Guntur Vande Bharat	Vande Bharat	SCR	Vijayawada	Guntur	2597	535.5	14:45	19:36	15:08	21:06	90	Fog	1	Delayed
18777	New Delhi-Lucknow Vande Bharat	Vande Bharat	NR	New Delhi	Lucknow	958	49.5	19:45	15:06	20:11	17:09	123	Heatwave	1	Delayed
45665	New Delhi-Amritsar Vande Bharat	Vande Bharat	NR	New Delhi	Amritsar	298	31.9	21:15	06:36	21:24	07:42	66	Fog	3	Delayed
79623	Ajmer-Bikaner Vande Bharat	Vande Bharat	NWR	Ajmer	Bikaner	2183	132.8	04:00	20:26	04:36	23:01	155	Rain	2	Delayed
57384	Nagpur-Raipur Vande Bharat	Vande Bharat	SECR	Nagpur	Raipur	2389	126.5	03:15	22:08	04:13	00:39	151	Clear	3	Delayed
67176	Asansol-Sealdah Vande Bharat	Vande Bharat	ER	Asansol	Sealdah	2055	445.1	09:30	14:07	09:32	16:22	135	Storm	2	Delayed
30040	Raipur-Durg Vande Bharat	Vande Bharat	SECR	Raipur	Durg	785	145.4	08:15	13:39	09:31	16:28	169	Rain	3	Delayed
90155	Madurai-Trivandrum Vande Bharat	Vande Bharat	SR	Madurai	Trivandrum	208	25.2	09:30	17:45	09:57	18:42	57	Clear	2	Delayed
72372	Chennai-Madurai Vande Bharat	Vande Bharat	SR	Chennai	Madurai	571	44.7	09:30	22:16	09:33	22:52	36	Rain	3	Delayed
16812	Varanasi-Lucknow Vande Bharat	Vande Bharat	NR	Varanasi	Lucknow	1842	80.6	17:00	15:52	17:45	18:23	151	Clear	1	Delayed
17888	Jaipur-Ajmer Vande Bharat	Vande Bharat	NWR	Jaipur	Ajmer	2372	251.9	01:00	10:25	01:34	12:00	95	Heatwave	2	Delayed
58754	Sealdah-Howrah Vande Bharat	Vande Bharat	ER	Sealdah	Howrah	1196	93.3	09:00	21:49	09:43	23:56	127	Heatwave	3	Delayed
54472	Jabalpur-Bhopal Vande Bharat	Vande Bharat	WCR	Jabalpur	Bhopal	2530	229.7	12:45	23:46	13:12	00:49	63	Rain	2	Delayed
93947	Muzaffarpur-Gaya Vande Bharat	Vande Bharat	ECR	Muzaffarpur	Gaya	1432	92.9	16:45	08:10	17:33	09:56	106	Rain	3	Delayed
84907	Raipur-Nagpur Vande Bharat	Vande Bharat	SECR	Raipur	Nagpur	2641	730.2	03:00	06:37	03:16	07:22	45	Clear	1	Delayed
90002	Lucknow-Amritsar Vande Bharat	Vande Bharat	NR	Lucknow	Amritsar	1139	55.2	20:15	16:53	20:41	19:09	136	Heatwave	3	Delayed
78084	Jabalpur-Kota Vande Bharat	Vande Bharat	WCR	Jabalpur	Kota	1183	88.7	20:15	09:35	20:23	10:00	25	Clear	2	Delayed
33003	Bhopal-Itarsi Rajdhani	Rajdhani	WCR	Bhopal	Itarsi	2531	378.7	16:45	23:26	17:48	01:51	145	Rain	2	Delayed
56104	Hyderabad-Vijayawada Rajdhani	Rajdhani	SCR	Hyderabad	Vijayawada	1684	89.2	16:15	11:08	16:32	13:53	165	Heatwave	3	Delayed
91519	Asansol-Howrah Rajdhani	Rajdhani	ER	Asansol	Howrah	2423	415.4	04:00	09:50	04:14	11:24	94	Rain	3	Delayed
32228	Bhopal-Kota Rajdhani	Rajdhani	WCR	Bhopal	Kota	2742	132.3	04:45	01:29	04:46	03:54	145	Clear	1	Delayed
48880	Asansol-Howrah Rajdhani	Rajdhani	ER	Asansol	Howrah	1046	101.9	08:00	18:16	08:18	20:11	115	Storm	1	Delayed
27001	Varanasi-New Delhi Rajdhani	Rajdhani	NR	Varanasi	New Delhi	1899	254.3	20:15	03:43	20:26	05:18	95	Heatwave	1	Delayed
46423	Jabalpur-Bhopal Rajdhani	Rajdhani	WCR	Jabalpur	Bhopal	1302	161.4	01:15	09:19	01:18	09:53	34	Storm	1	Delayed
85847	Bilaspur-Raipur Rajdhani	Rajdhani	SECR	Bilaspur	Raipur	2288	181.6	14:30	03:06	14:35	03:29	23	Rain	3	Delayed
32772	Patna-Howrah Rajdhani	Rajdhani	ER	Patna	Howrah	1017	60.8	02:15	18:58	02:23	19:15	17	Storm	1	Delayed
55204	Bhopal-Itarsi Rajdhani	Rajdhani	WCR	Bhopal	Itarsi	177	11.9	22:45	13:41	22:50	14:33	52	Storm	1	Delayed
94793	Jabalpur-Itarsi Rajdhani	Rajdhani	WCR	Jabalpur	Itarsi	774	305.5	00:45	03:17	01:48	06:02	165	Storm	1	Delayed
24303	Allahabad-Bareilly Rajdhani	Rajdhani	NER	Allahabad	Bareilly	505	99	06:45	11:51	07:15	13:44	113	Heatwave	3	Delayed
58200	Kanpur-Bareilly Rajdhani	Rajdhani	NER	Kanpur	Bareilly	2409	345.8	17:30	00:28	18:04	02:07	99	Storm	2	Delayed
84870	Lucknow-Varanasi Rajdhani	Rajdhani	NR	Lucknow	Varanasi	604	58.5	01:45	12:05	02:21	13:17	72	Fog	3	Delayed
